,9618.HK,9988.HK,3690.HK,0700.HK,1211.HK,ABEV.K,LZRFY.PK
07/01/2021,342.828018,221,308,524.0748384,235.2,2.99,12.17929559
06/01/2021,356.50207,230,310,549.8867918,223.6,3.07,11.94243725
05/01/2021,330.9120584,223,296.6,537.9026706,229.6,3.06,12.79831192
04/01/2021,335.6003048,227.6,292.6,527.7622603,223.2,2.99,12.85802411
31/12/2020,334.037556,232.6,294.6,519.9264888,203.2,3.06,13.3357216
30/12/2020,329.9353404,236.2,287.8,515.7781391,195,3.05,13.06383211
29/12/2020,314.503196,222,273.4,489.0443303,192.5,3.12,12.9177363
28/12/2020,310.9870112,210,260,478.4429923,199.7,3.03,12.69879161
24/12/2020,317.8240372,228.2,279.2,512.551645,193.5,3.05,12.6291274
23/12/2020,325.247094,248.4,287,526.3794771,198.4,3.02,12.98740051
22/12/2020,307.8615136,248.8,276.2,527.7622603,193.7,3.03,12.60922333
21/12/2020,306.1034212,250,278.4,527.3013326,206.6,3.04,12.94759239
18/12/2020,312.9404472,255.6,278.4,534.6761764,185,3.13,13.465098
17/12/2020,315.479914,258,285,537.4417428,182.8,3.19,14.05226784
16/12/2020,304.3453288,251,279.2,526.8404049,180.9,3.16,13.43524191
15/12/2020,299.2663952,246,274.2,516.2390669,178.5,3.1,17.84399166
14/12/2020,307.8615136,251.6,282.6,526.3794771,179.5,3.02,12.43506279
11/12/2020,312.7451036,258.4,293.8,542.0510202,174.1,3.13,12.35047053
10/12/2020,311.573042,255.4,287,532.8324655,175.1,3.15,12.50970302
09/12/2020,313.7218216,260.8,286.4,539.2854538,179,2.99,12.47984693
08/12/2020,318.2147244,258,287.6,537.4417428,181.4,2.96,12.68585397
07/12/2020,324.0750324,258,282.4,537.9026706,176.9,2.95,12.57936724
04/12/2020,331.4980892,264,288.6,542.511948,175.5,2.91,12.93764036
03/12/2020,323.6843452,257.4,275.8,542.9728757,172.9,2.89,13.12672895
02/12/2020,318.410068,255.2,277.8,529.1450436,172.8,2.88,12.40023068
01/12/2020,327.7865608,257.2,289.2,532.8324655,187.6,2.86,12.42411556
30/11/2020,330.7167148,261.4,290,519.0046333,182.1,2.66,12.82816802
27/11/2020,334.8189304,269.6,312,537.4417428,186.9,2.73,12.18725722
25/11/2020,335.014274,267,293.6,528.2231881,192.7,2.76,12.19720925
24/11/2020,340.0932076,270,303.4,538.3635983,199.8,2.78,12.24099819
23/11/2020,336.5770228,264,308,540.2073093,198.2,2.74,11.99219741
19/11/2020,324.4657196,245.2,294,528.2231881,172.3,2.8,12.181286
18/11/2020,332.08412,250,300,542.9728757,176.5,2.77,12.00712546
17/11/2020,333.8422124,249.8,303,536.0589596,170.3,2.91,12.48979896
16/11/2020,359.432224,254,318.4,550.3477195,179.8,2.87,12.09569853
13/11/2020,340.2885512,257,305.8,554.9569969,181.9,2.8,12.15769969
12/11/2020,315.479914,253,286.8,531.91061,177,2.71,11.90262913
11/11/2020,293.0154,248.4,271,507.9423676,157,2.79,12.29075834
10/11/2020,322.7076272,275.4,300,548.5040086,184.5,2.86,12.26090225
09/11/2020,353.7672596,290.2,335.2,573.8550342,196,2.66,12.50970302
06/11/2020,349.8603876,282,326.8,566.4801904,194,2.48,12.60922333
05/11/2020,352.595198,294.6,329.6,576.1596729,197.2,2.43,12.24099819
04/11/2020,322.31694,277.2,313.8,542.511948,170,2.25,11.70358851
03/11/2020,314.503196,299.8,296,551.269575,170.3,2.25,10.84273782
02/11/2020,312.9404472,297.8,294.6,554.4960692,173.7,2.18,11.51449992
30/10/2020,307.8615136,293.2,288.2,544.8165867,154.1,2.14,10.4496326
29/10/2020,310.596324,302.6,297.2,557.7225633,156.6,2.26,10.78999206
28/10/2020,313.526478,307.4,280,554.0351414,149.1,2.33,10.77804962
27/10/2020,309.0335752,300,266,539.2854538,141.4,2.44,11.30550727
23/10/2020,308.642888,298,262.4,517.6218501,135.9,2.51,10.84771384
22/10/2020,315.479914,300,269,519.4655611,145.6,2.45,11.31048328
21/10/2020,315.2845704,300.2,269,522.2311275,139.5,2.41,11.17613086
20/10/2020,310.2056368,299.4,260.8,520.3874165,139.9,2.42,11.49758147
19/10/2020,309.619606,297.2,259,517.6218501,128.4,2.37,10.90742603
16/10/2020,307.66617,294,265.8,513.4735005,129.6,2.35,11.08656258
15/10/2020,304.1499852,284.8,265,508.8642231,134.3,2.42,11.09651462
14/10/2020,316.456632,297.6,278.4,528.6841158,134.5,2.51,10.75655324
12/10/2020,309.4242624,292,275.2,513.4735005,129,2.52,11.13134672
09/10/2020,300.6338004,286.2,270,497.3410296,122.4,2.47,10.76809759
08/10/2020,297.89899,289.6,266.8,493.19268,128.4,2.46,10.62279794
07/10/2020,298.0943336,288.2,267.8,493.19268,121.2,2.43,10.07643143
06/10/2020,291.6479948,280,258,486.2787639,122.1,2.42,9.892318859
05/10/2020,290.4759332,282,245.8,483.9741252,123.6,2.32,10.24561596
30/09/2020,286.9597484,275.6,241.8,471.5290763,121.4,2.26,10.23964474
29/09/2020,288.3271536,265.4,234.6,465.9979434,108.2,2.19,10.09135948
28/09/2020,283.24822,263.4,237,466.4588711,104.9,2.23,10.2904001
25/09/2020,275.6298196,258,232,464.1542325,103.1,2.33,10.40982447
24/09/2020,281.6854712,261,238.6,465.5370157,103.5,2.31,10.33020823
23/09/2020,285.5923432,267,250,473.833715,107.4,2.24,10.37996838
22/09/2020,283.24822,264.8,242.6,471.5290763,106.2,2.36,9.454429493
21/09/2020,280.5134096,262,241.6,476.1383537,102.2,2.36,9.534045742
18/09/2020,285.0063124,269.6,241.6,483.9741252,110.5,2.39,9.593757928
17/09/2020,280.318066,267.8,240.8,485.8178362,109.7,2.54,10.93728212
16/09/2020,291.4526512,273,248.2,492.7317522,103.6,2.42,12.0220535
15/09/2020,294.7734924,267.4,243.6,488.1224748,97.3,2.44,9.832606673
14/09/2020,286.9597484,268.2,244.6,488.1224748,86.4,2.39,9.857486751
11/09/2020,288.13181,266,242.8,475.6774259,87.15,2.29,9.514141679
10/09/2020,288.13181,262.6,233,466.4588711,81.25,2.33,9.514141679
09/09/2020,288.7178408,263.2,232,464.6151602,79.15,2.33,10.373201
08/09/2020,297.89899,269.6,238,468.7635098,82.5,2.32,10.04060412
04/09/2020,300.6338004,274,261.8,477.5211369,81.95,2.37,9.543798732
03/09/2020,315.6752576,284.2,262.6,492.2708245,85,2.41,9.484285586
02/09/2020,324.270376,291.2,272.8,502.4112347,86.55,2.38,9.534045742
01/09/2020,302.0012056,282.8,264.6,496.8801019,87.65,2.35,9.245436841
31/08/2020,303.3686108,282.8,255.6,489.0443303,77,2.25,8.884178114
28/08/2020,301.2198312,277,265.2,498.2628851,77.15,2.38,9.245436841
27/08/2020,309.2289188,280.6,271,514.3953559,78.1,2.29,8.618458885
26/08/2020,308.4475444,280.4,258.8,508.4032953,75.9,2.29,8.553770684
25/08/2020,291.061964,269.2,257.6,501.950307,73.25,2.32,8.817499506
24/08/2020,292.038682,264.4,265.8,505.1768012,71.25,2.33,8.661252619
21/08/2020,280.9040968,252.8,245.2,477.5211369,70.15,2.33,8.668219041
20/08/2020,273.2856964,255,234.6,468.3025821,70.2,2.34,8.887163724
19/08/2020,271.527604,255.4,231,466.4588711,72,2.34,8.737883258
18/08/2020,259.4163008,252,235,471.990004,71.75,2.39,9.056348251
17/08/2020,236.9517868,242.8,218.2,465.0760879,72.15,2.36,8.46917842
14/08/2020,237.342474,246.8,219.8,466.9197989,73.45,2.45,9.061324267
13/08/2020,238.7098792,248.2,211.4,470.1462931,73.3,2.47,9.036444189
12/08/2020,235.389038,243.4,213.8,479.8257756,73.5,2.49,9.016540127
11/08/2020,236.7564432,244,218.4,473.3727872,75.45,2.48,9.369837229
10/08/2020,234.8030072,242.4,223,462.7714492,76.4,2.43,9.255388872
07/08/2020,240.6633152,249.2,222.4,486.2787639,78.35,2.46,9.364861214
06/08/2020,248.086372,257,221.2,512.0907172,79.6,2.49,9.653470114
05/08/2020,247.109654,255.8,218.4,517.1609224,78.35,2.49,9.603709959
04/08/2020,246.132936,253.8,218,507.0205121,77.9,2.53,9.23548481
03/08/2020,241.4446896,245.6,200.6,496.8801019,74.65,2.58,9.340976339
31/07/2020,235.1936944,246,191.9,492.2708245,74.05,2.68,9.663422145
30/07/2020,235.1936944,244.8,195,493.19268,73.55,2.84,9.683326207
29/07/2020,234.2169764,243,193,499.1847406,75.35,2.9,8.623434901
28/07/2020,237.7331612,244.6,191,501.0284515,74,2.93,8.634879737
27/07/2020,231.2868224,239,185,479.3648478,71.45,2.99,8.722955211
24/07/2020,229.3333864,239,190.7,486.7396916,72.45,2.87,8.52391459
23/07/2020,235.9750688,246.6,199,513.4735005,79.5,2.79,8.598554823
22/07/2020,236.5610996,248,192.2,496.8801019,74,2.9,8.931947863
21/07/2020,248.2817156,257,205,519.9264888,78.4,2.86,8.971755987
20/07/2020,236.1704124,239.6,188.4,481.6694865,77.45,2.66,8.528890606
17/07/2020,234.9983508,238.8,191.1,480.2867033,69,2.61,8.46917842
16/07/2020,229.52873,233.2,185.1,472.9118595,69.65,2.65,8.708027165
15/07/2020,235.5843816,243.4,200.6,500.5675238,79,2.69,8.215401628
14/07/2020,236.1704124,240.4,197.1,483.9741252,82.55,2.62,8.160665457
13/07/2020,249.6491208,254.4,206,498.7238128,89.8,2.61,7.778507465
10/07/2020,254.3373672,255.4,208.2,503.7940179,77.3,2.83,8.065125959
09/07/2020,259.806988,261.6,209.8,519.0046333,74.6,2.78,8.036265069
08/07/2020,241.8353768,237.8,199.8,500.5675238,74,2.81,8.163651067
07/07/2020,236.365756,232.4,185,475.6774259,71.25,2.71,8.09100124
06/07/2020,239.1005664,225.4,191,479.3648478,72,2.69,8.051193116
02/07/2020,230.3101044,214.4,179.4,477.9820646,59.8,2.66,7.951672805
30/06/2020,226.4032324,209.6,171.9,459.6371406,59.85,2.64,7.225174539
29/06/2020,224.4497964,209.4,171.7,448.0217616,59.65,2.68,7.483927346
26/06/2020,228.9426992,214.6,174.7,447.0999061,59.85,2.55,7.294838756
24/06/2020,229.3333864,221.4,178.4,452.4466679,61.05,2.59,7.599370906
23/06/2020,224.64514,220,176.8,458.530914,60.45,2.72,8.071097178
22/06/2020,222.691704,213,170.5,437.143867,59.4,2.71,7.752632184
19/06/2020,228.1613248,219,174,424.4222614,59.85,2.6,7.812344371
18/06/2020,228.552012,217.8,172.5,422.2098083,58.1,2.59,7.543639532
